enrollment_id,learner_id,course_id,enrollment_date,started_course_flag,active_flag,completed_flag,completion_date,progress_percent,sessions_count,hours_spent,dropout_stage,satisfaction_score
E00038,L00746,C005,2025-10-01,1,1,1,2025-11-24,100.0,12,10.8,,5.0
E00039,L04107,C002,2024-03-22,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00040,L02690,C008,2025-11-25,1,1,1,2025-12-04,94.6,14,13.3,,5.0
E00041,L00360,C004,2024-07-31,1,1,1,2024-09-03,93.9,14,13.9,,5.0
E00042,L01721,C010,2025-03-30,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00043,L03510,C007,2025-03-18,1,1,1,2025-05-12,100.0,12,21.4,,5.0
E00044,L02253,C009,2025-09-13,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00045,L02797,C006,2025-10-05,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00046,L02953,C004,2025-12-29,0,0,0,,0.0,0,0.0,Enrolled not started,1.2
E00047,L01947,C004,2025-04-09,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00048,L00902,C007,2025-12-06,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00049,L00456,C009,2025-01-22,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00050,L04192,C002,2024-02-20,1,1,1,2024-04-06,95.6,6,11.6,,5.0
E00051,L00033,C003,2025-07-22,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00052,L01910,C004,2025-06-21,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00053,L02956,C006,2024-04-29,1,1,0,,49.6,4,5.0,Dropped mid-course,3.5
E00054,L00083,C010,2025-11-06,1,1,1,2025-12-05,100.0,7,10.1,,5.0
E00055,L00250,C007,2025-12-12,0,0,0,,0.0,0,0.0,Enrolled not started,2.4
E00056,L01595,C003,2025-12-22,1,1,1,2026-01-06,100.0,10,13.9,,5.0
E00057,L03472,C010,2025-07-27,1,1,1,2025-08-04,90.8,11,8.7,,5.0
E00058,L02061,C006,2024-07-27,1,0,0,,26.0,2,5.3,Dropped mid-course,2.0
E00059,L03124,C010,2025-04-21,1,1,1,2025-06-20,100.0,11,10.5,,5.0
E00060,L03096,C003,2025-02-05,1,1,1,2025-03-15,99.3,11,19.2,,5.0
E00061,L00887,C010,2024-08-14,1,1,1,2024-09-15,95.0,7,10.8,,5.0
E00062,L01349,C001,2024-07-16,0,0,0,,0.0,0,0.0,Enrolled not started,1.7
E00063,L01713,C007,2025-03-16,1,0,0,,25.1,1,0.8,Dropped mid-course,1.4
E00064,L02556,C010,2024-05-11,1,1,0,,56.8,4,3.8,Dropped mid-course,3.7
E00065,L02036,C007,2025-02-07,0,0,0,,0.0,0,0.0,Enrolled not started,2.2
E00066,L01322,C008,2024-07-03,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00067,L01617,C007,2025-12-13,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00068,L00070,C010,2025-12-13,1,1,1,2026-01-28,89.9,8,7.5,,5.0
E00069,L00364,C008,2025-08-27,1,1,0,,46.4,4,6.7,Dropped mid-course,4.2
E00070,L03786,C006,2025-12-31,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00071,L03056,C004,2025-02-12,0,0,0,,0.0,0,0.0,Enrolled not started,1.0
E00072,L03030,C001,2024-11-12,1,1,1,2024-12-04,99.6,11,6.9,,5.0
E00073,L04036,C006,2025-10-26,1,0,0,,14.3,1,0.8,Dropped after first lesson,1.2
E00074,L01071,C007,2024-11-21,1,1,1,2024-12-25,89.3,7,16.8,,5.0
E00075,L00362,C010,2024-11-22,1,1,1,2025-01-17,88.6,9,9.8,,5.0
E00076,L00193,C002,2024-09-07,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00077,L01560,C002,2024-05-28,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00078,L01924,C001,2025-11-02,0,0,0,,0.0,0,0.0,Enrolled not started,2.2
E00079,L00592,C006,2025-02-07,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00080,L02708,C005,2025-04-03,0,0,0,,0.0,0,0.0,Enrolled not started,2.2
E00081,L02745,C003,2025-09-28,1,1,1,2025-10-08,100.0,7,15.6,,5.0
E00082,L03141,C005,2024-04-19,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00083,L01382,C003,2025-04-28,1,1,1,2025-05-12,96.6,13,16.4,,5.0
E00084,L03421,C004,2025-05-23,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00085,L01675,C002,2024-05-05,1,1,1,2024-06-28,96.1,10,8.9,,5.0
E00086,L01420,C004,2024-06-23,1,1,1,2024-08-10,93.2,11,13.9,,5.0
E00087,L01522,C006,2024-09-24,1,0,0,,23.0,1,4.7,Dropped after first lesson,2.2
E00088,L04169,C006,2025-03-07,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00089,L01558,C008,2025-05-24,0,0,0,,0.0,0,0.0,Enrolled not started,2.4
E00090,L03619,C003,2025-01-06,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00091,L02512,C004,2025-07-19,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00092,L01075,C006,2025-05-10,0,0,0,,0.0,0,0.0,Enrolled not started,2.2
E00093,L00926,C003,2024-06-08,1,1,1,2024-07-19,97.9,13,19.8,,5.0
E00094,L00237,C006,2024-07-13,0,0,0,,0.0,0,0.0,Enrolled not started,2.6
E00095,L03713,C009,2024-06-21,0,0,0,,0.0,0,0.0,Enrolled not started,1.6
E00096,L00925,C006,2024-04-11,1,1,1,2024-06-21,90.1,13,24.1,,5.0
E00097,L03167,C006,2025-12-31,1,1,0,,34.6,4,0.8,Dropped mid-course,2.9
E00098,L00693,C003,2025-09-26,0,0,0,,0.0,0,0.0,Enrolled not started,1.7
E00099,L00765,C007,2025-11-10,1,1,0,,48.8,3,5.2,Dropped mid-course,3.3
E00100,L00032,C003,2025-08-04,1,1,1,2025-10-08,92.1,14,19.8,,5.0
E00101,L02489,C005,2025-12-02,1,1,1,2026-01-23,98.9,14,12.2,,5.0
E00102,L00049,C003,2025-09-15,1,1,1,2025-11-10,99.8,8,14.2,,5.0
E00103,L02077,C009,2025-01-15,0,0,0,,0.0,0,0.0,Enrolled not started,1.7
E00104,L01146,C002,2024-09-20,1,1,1,2024-11-01,90.1,11,8.8,,5.0
E00105,L01439,C010,2025-12-06,1,1,1,2025-12-24,100.0,9,9.5,,5.0
E00106,L02291,C002,2024-03-13,1,1,1,2024-04-28,95.6,8,10.9,,5.0
E00107,L01221,C003,2025-12-13,1,1,0,,42.2,3,3.8,Dropped mid-course,3.2
E00108,L03977,C001,2025-12-05,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00109,L00908,C001,2025-08-13,1,1,1,2025-09-06,95.3,12,7.9,,5.0
E00110,L02682,C004,2024-06-12,1,1,1,2024-07-25,94.2,10,14.4,,5.0
E00111,L03295,C006,2025-08-08,1,1,1,2025-09-18,98.4,13,19.3,,5.0
E00112,L02232,C004,2024-03-17,1,1,0,,100.0,6,11.2,Active no completion,5.0
E00113,L02117,C007,2025-09-06,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00114,L00118,C002,2025-11-17,1,1,1,2025-11-25,93.8,11,8.0,,5.0
E00115,L00619,C006,2024-05-15,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00116,L04177,C008,2025-01-15,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00117,L00390,C005,2024-11-18,1,1,1,2025-02-06,87.0,11,10.8,,5.0
E00118,L00764,C003,2024-03-11,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00119,L03653,C001,2024-10-07,0,0,0,,0.0,0,0.0,Enrolled not started,1.0
E00120,L03150,C006,2025-11-11,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00121,L01854,C008,2024-10-02,1,1,1,2024-10-13,86.0,14,10.5,,4.7
E00122,L03440,C005,2025-04-14,1,1,1,2025-06-06,90.7,6,14.8,,5.0
E00123,L02271,C002,2025-05-24,1,1,1,2025-07-04,94.5,7,10.8,,5.0
E00124,L03232,C006,2025-12-29,0,0,0,,0.0,0,0.0,Enrolled not started,2.4
E00125,L03721,C004,2024-12-14,1,1,1,2025-02-11,90.2,12,16.8,,5.0
E00126,L01286,C009,2024-12-01,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00127,L02951,C007,2025-08-07,0,0,0,,0.0,0,0.0,Enrolled not started,2.1
E00128,L03453,C004,2025-09-24,1,1,0,,54.5,4,5.0,Dropped mid-course,3.6
E00129,L02295,C009,2025-10-19,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00130,L01510,C009,2025-08-20,1,1,0,,43.2,3,7.2,Dropped mid-course,3.0
E00131,L01811,C004,2025-08-17,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00132,L00431,C003,2024-11-03,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00133,L00598,C002,2024-12-08,0,0,0,,0.0,0,0.0,Enrolled not started,2.1
E00134,L00929,C007,2025-12-30,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00135,L03259,C006,2025-02-13,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00136,L02173,C006,2025-12-24,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00137,L02309,C010,2025-03-04,1,1,1,2025-05-20,98.9,7,8.9,,5.0
E00138,L02358,C006,2025-08-22,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00139,L00604,C005,2025-02-04,1,1,1,2025-04-13,90.4,14,13.6,,4.7
E00140,L03182,C004,2024-10-30,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00141,L03034,C006,2024-06-27,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00142,L01463,C010,2024-12-17,1,1,1,2025-02-06,100.0,13,10.9,,5.0
E00143,L02421,C004,2024-09-12,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00144,L01014,C004,2025-04-07,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00145,L02666,C006,2025-01-24,1,1,1,2025-02-21,94.6,13,24.8,,5.0
E00146,L03606,C007,2024-06-14,0,0,0,,0.0,0,0.0,Enrolled not started,2.4
E00147,L00657,C001,2024-09-18,1,1,1,2024-11-23,100.0,11,8.8,,5.0
E00148,L00978,C010,2024-03-01,1,1,1,2024-04-10,100.0,9,9.8,,5.0
E00149,L00841,C007,2025-02-24,0,0,0,,0.0,0,0.0,Enrolled not started,1.0
E00150,L03295,C007,2025-05-25,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00151,L00286,C004,2025-02-26,1,1,1,2025-05-05,93.6,9,15.1,,5.0
E00152,L00369,C003,2025-08-09,1,0,0,,14.4,1,1.3,Dropped after first lesson,1.4
E00153,L02466,C006,2025-02-17,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00154,L03469,C009,2025-06-16,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00155,L00092,C007,2024-05-10,1,0,0,,19.4,2,2.4,Dropped after first lesson,2.4
E00156,L03022,C008,2025-02-06,1,1,1,2025-04-26,100.0,14,10.2,,5.0
E00157,L03231,C004,2025-07-26,1,1,1,2025-09-27,94.6,12,14.7,,5.0
E00158,L02199,C001,2025-12-04,1,1,1,2026-02-12,90.6,10,6.4,,5.0
E00159,L01991,C006,2024-06-30,0,0,0,,0.0,0,0.0,Enrolled not started,2.4
E00160,L02351,C004,2024-12-15,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00161,L02543,C005,2024-03-16,1,1,1,2024-04-02,89.0,13,15.1,,4.9
E00162,L02958,C001,2025-11-07,1,1,1,2026-01-16,89.1,12,9.4,,4.7
E00163,L03899,C007,2024-05-10,1,1,1,2024-06-03,95.8,7,22.5,,4.9
E00164,L02152,C008,2025-12-27,1,1,1,2026-01-28,91.2,11,12.7,,5.0
E00165,L02520,C001,2024-06-23,1,1,1,2024-08-01,95.5,7,8.7,,5.0
E00166,L00860,C005,2025-02-06,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00167,L03411,C009,2025-11-03,0,0,0,,0.0,0,0.0,Enrolled not started,2.1
E00168,L02575,C007,2024-12-01,0,0,0,,0.0,0,0.0,Enrolled not started,1.6
E00169,L02068,C004,2025-03-30,1,0,0,,34.0,2,4.2,Dropped mid-course,2.2
E00170,L04033,C008,2024-05-22,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00171,L03149,C008,2025-01-09,1,1,1,2025-02-08,94.8,11,10.9,,5.0
E00172,L02167,C003,2025-06-08,0,0,0,,0.0,0,0.0,Enrolled not started,1.2
E00173,L00232,C004,2024-11-19,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00174,L04142,C009,2025-03-28,1,1,1,2025-06-02,89.3,14,28.0,,5.0
E00175,L03700,C001,2024-05-04,1,1,1,2024-06-04,94.8,10,7.0,,5.0
E00176,L01750,C003,2024-02-29,0,0,0,,0.0,0,0.0,Enrolled not started,2.4
E00177,L00708,C007,2025-12-27,0,0,0,,0.0,0,0.0,Enrolled not started,2.6
E00178,L01228,C001,2025-10-20,0,0,0,,0.0,0,0.0,Enrolled not started,2.1
E00179,L01272,C004,2024-08-12,1,1,1,2024-10-17,95.8,7,18.3,,5.0
E00180,L01709,C002,2024-09-13,1,1,1,2024-11-12,89.7,10,8.1,,5.0
E00181,L02915,C008,2024-04-17,0,0,0,,0.0,0,0.0,Enrolled not started,1.6
E00182,L00214,C004,2025-12-30,0,0,0,,0.0,0,0.0,Enrolled not started,1.6
E00183,L00660,C004,2025-01-17,1,1,1,2025-03-11,87.2,14,13.1,,5.0
E00184,L01237,C005,2025-04-17,1,1,1,2025-06-23,88.0,9,11.3,,5.0
E00185,L00005,C006,2025-05-18,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00186,L00943,C009,2025-05-10,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00187,L03833,C006,2025-06-08,1,1,1,2025-08-17,98.4,8,19.8,,5.0
E00188,L03339,C004,2025-07-17,0,0,0,,0.0,0,0.0,Enrolled not started,1.2
E00189,L00408,C004,2025-12-27,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00190,L02696,C009,2025-01-02,1,1,0,,46.3,3,5.6,Dropped mid-course,3.1
E00191,L03167,C002,2025-11-13,1,1,1,2025-11-26,100.0,13,7.8,,5.0
E00192,L01585,C010,2024-10-15,1,1,1,2024-12-20,94.1,7,8.5,,5.0
E00193,L01594,C010,2024-04-12,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00194,L03441,C003,2024-08-15,0,0,0,,0.0,0,0.0,Enrolled not started,1.6
E00195,L04006,C007,2024-06-17,1,1,0,,42.8,5,0.8,Dropped mid-course,2.7
E00196,L00921,C001,2025-12-16,1,1,1,2026-01-11,96.7,6,8.5,,5.0
E00197,L01959,C003,2024-11-30,1,1,1,2025-01-24,96.2,11,15.5,,5.0
E00198,L00737,C006,2024-12-05,1,1,1,2025-01-05,98.6,14,17.5,,5.0
E00199,L02353,C010,2025-05-18,1,1,0,,46.0,3,4.7,Dropped mid-course,3.2
E00200,L01388,C010,2025-11-30,1,0,0,,51.3,2,5.2,Dropped mid-course,2.9
E00201,L00329,C010,2025-12-30,0,0,0,,0.0,0,0.0,Enrolled not started,2.6
E00202,L03612,C004,2025-12-26,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00203,L03287,C004,2024-02-20,1,1,1,2024-03-23,96.9,12,12.8,,5.0
E00204,L00887,C003,2024-07-07,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00205,L02146,C003,2024-12-02,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00206,L02930,C009,2025-07-19,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00207,L03506,C005,2025-11-08,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00208,L02214,C006,2025-04-21,1,1,1,2025-07-08,86.6,11,20.4,,5.0
E00209,L02407,C010,2025-05-11,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00210,L02084,C009,2025-07-07,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00211,L00972,C002,2025-09-16,1,1,0,,87.9,5,5.9,Active no completion,4.9
E00212,L01365,C006,2025-09-12,0,0,0,,0.0,0,0.0,Enrolled not started,2.1
E00213,L02484,C003,2025-04-18,1,1,1,2025-05-01,100.0,11,14.4,,5.0
E00214,L02981,C009,2024-04-16,1,1,0,,36.7,5,5.3,Dropped mid-course,3.3
E00215,L02282,C006,2025-12-12,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00216,L02397,C002,2025-07-19,1,1,1,2025-10-03,97.9,13,11.6,,5.0
E00217,L01956,C001,2024-07-26,1,1,1,2024-09-19,86.5,9,7.4,,5.0
E00218,L02514,C009,2025-10-31,0,0,0,,0.0,0,0.0,Enrolled not started,1.7
E00219,L00492,C001,2025-07-13,1,1,1,2025-09-28,87.6,11,9.2,,5.0
E00220,L03460,C006,2025-01-08,0,0,0,,0.0,0,0.0,Enrolled not started,1.3
E00221,L02804,C003,2025-08-23,1,1,0,,67.5,3,8.8,Active no completion,3.7
E00222,L03540,C004,2024-05-20,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00223,L04001,C001,2025-11-01,1,1,1,2025-11-26,100.0,9,6.6,,5.0
E00224,L01016,C007,2025-02-08,1,1,1,2025-03-20,98.0,14,19.3,,5.0
E00225,L01086,C001,2025-03-16,1,0,0,,47.3,1,1.4,Dropped mid-course,2.5
E00226,L00459,C003,2024-08-03,0,0,0,,0.0,0,0.0,Enrolled not started,2.6
E00227,L00648,C004,2024-08-16,1,1,1,2024-10-27,95.9,13,16.0,,5.0
E00228,L02483,C009,2024-05-11,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00229,L00808,C002,2025-08-29,1,1,1,2025-11-04,99.0,7,11.6,,5.0
E00230,L02709,C003,2025-06-07,1,1,0,,42.2,3,0.8,Dropped mid-course,3.6
E00231,L02979,C008,2024-03-23,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00232,L02626,C009,2024-06-10,0,0,0,,0.0,0,0.0,Enrolled not started,1.6
E00233,L02963,C006,2025-11-24,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00234,L04044,C009,2024-09-01,1,1,1,2024-11-02,93.0,10,25.1,,5.0
E00235,L00757,C002,2024-04-27,1,1,1,2024-07-10,88.1,9,11.3,,5.0
E00236,L03075,C004,2025-11-02,1,0,0,,28.3,1,3.3,Dropped mid-course,2.0
E00237,L02478,C004,2025-02-17,1,0,0,,35.0,1,8.4,Dropped mid-course,2.7
E00238,L04006,C004,2024-07-09,1,1,1,2024-07-30,86.3,9,12.7,,5.0
E00239,L00960,C004,2025-12-30,0,0,0,,0.0,0,0.0,Enrolled not started,2.6
E00240,L02880,C003,2025-08-12,0,0,0,,0.0,0,0.0,Enrolled not started,1.0
E00241,L01637,C007,2024-06-07,1,1,1,2024-07-01,100.0,10,22.2,,5.0
E00242,L01694,C005,2025-10-11,1,1,1,2025-12-25,91.6,10,12.3,,5.0
E00243,L03687,C009,2024-11-06,0,0,0,,0.0,0,0.0,Enrolled not started,1.2
E00244,L00033,C002,2025-05-21,1,1,1,2025-07-02,100.0,14,11.2,,5.0
E00245,L02956,C002,2024-04-04,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00246,L01735,C008,2024-06-24,1,0,0,,42.5,2,3.5,Dropped mid-course,3.3
E00247,L04002,C009,2025-05-15,1,1,1,2025-07-01,92.4,14,20.6,,5.0
E00248,L03841,C009,2024-10-29,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00249,L01099,C004,2025-08-09,1,0,0,,24.0,1,0.8,Dropped after first lesson,2.3
E00250,L03997,C003,2025-08-18,1,1,1,2025-09-21,99.8,13,18.7,,5.0
E00251,L03105,C007,2025-08-21,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
E00252,L01163,C005,2024-06-01,1,1,1,2024-07-31,94.3,8,14.3,,5.0
E00253,L01407,C007,2025-05-16,1,1,1,2025-05-27,93.8,13,19.9,,5.0
E00254,L02082,C007,2024-07-06,0,0,0,,0.0,0,0.0,Enrolled not started,2.5
E00255,L01268,C002,2024-05-13,0,0,0,,0.0,0,0.0,Enrolled not started,2.2
E00256,L02313,C008,2025-01-02,0,0,0,,0.0,0,0.0,Enrolled not started,2.6
E00257,L02308,C008,2024-06-11,0,0,0,,0.0,0,0.0,Enrolled not started,2.1
E00258,L00856,C007,2024-11-11,1,0,0,,9.4,1,0.8,Dropped after enrollment,1.8
E00259,L00730,C006,2024-05-24,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00260,L03365,C008,2024-06-28,0,0,0,,0.0,0,0.0,Enrolled not started,1.2
E00261,L00900,C010,2025-09-12,1,1,1,2025-11-06,92.5,6,6.9,,5.0
E00262,L00612,C002,2024-05-31,0,0,0,,0.0,0,0.0,Enrolled not started,2.2
E00263,L03498,C006,2024-06-13,0,0,0,,0.0,0,0.0,Enrolled not started,1.3
E00264,L00091,C009,2025-12-09,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00265,L01114,C008,2025-05-15,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00266,L03277,C009,2025-11-12,1,1,1,2025-11-29,94.4,11,28.6,,4.8
E00267,L03732,C003,2025-10-05,1,1,1,2025-11-12,90.8,12,16.9,,5.0
E00268,L03352,C007,2024-11-12,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00269,L00501,C010,2024-10-15,1,1,1,2024-12-23,93.5,6,7.6,,5.0
E00270,L03857,C010,2025-05-19,1,1,1,2025-06-18,98.2,14,9.3,,5.0
E00271,L02008,C010,2025-09-24,1,1,1,2025-11-24,100.0,12,8.9,,5.0
E00272,L03245,C008,2025-12-27,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00273,L00424,C009,2025-11-30,1,1,0,,54.8,5,5.1,Dropped mid-course,2.9
E00274,L03188,C008,2024-03-25,1,1,1,2024-06-13,90.0,14,9.5,,5.0
E00275,L02505,C010,2025-02-20,1,1,1,2025-04-17,100.0,9,10.7,,5.0
E00276,L00660,C003,2024-12-30,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00277,L01631,C003,2025-12-26,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00278,L00070,C004,2025-11-16,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00279,L00989,C010,2025-02-04,1,0,0,,42.2,1,2.8,Dropped mid-course,2.8
E00280,L02389,C006,2024-03-11,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00281,L00416,C001,2025-08-24,1,1,1,2025-10-21,100.0,14,8.9,,5.0
E00282,L04043,C005,2024-10-20,0,0,0,,0.0,0,0.0,Enrolled not started,1.3
E00283,L03564,C002,2025-10-17,1,1,1,2025-11-13,100.0,9,10.3,,5.0
E00284,L03918,C001,2025-09-18,1,1,1,2025-11-20,100.0,12,7.6,,5.0
E00285,L02944,C005,2025-04-22,0,0,0,,0.0,0,0.0,Enrolled not started,2.3
E00286,L01302,C007,2025-05-20,0,0,0,,0.0,0,0.0,Enrolled not started,1.3
E00287,L00516,C006,2025-06-26,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00288,L00080,C004,2024-08-28,1,0,0,,26.8,2,0.8,Dropped mid-course,2.0
E00289,L03615,C007,2025-02-11,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00290,L01442,C008,2024-02-22,1,1,1,2024-04-29,93.9,14,10.5,,5.0
E00291,L00856,C008,2024-11-15,1,1,1,2024-11-30,93.2,13,14.1,,5.0
E00292,L01423,C002,2025-04-10,1,0,0,,29.1,1,0.9,Dropped mid-course,2.4
E00293,L02497,C002,2024-05-04,0,0,0,,0.0,0,0.0,Enrolled not started,1.0
E00294,L03302,C006,2025-10-10,1,0,0,,18.8,1,0.8,Dropped after first lesson,2.4
E00295,L00436,C007,2024-12-26,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00296,L03478,C006,2025-11-11,0,0,0,,0.0,0,0.0,Enrolled not started,1.9
