event_id,learner_id,course_id,activity_date,days_since_enrollment,returned_flag
R000090,L01556,C003,2024-05-18,7,1
R000091,L01556,C003,2024-05-25,14,0
R000092,L01556,C003,2024-06-10,30,0
R000093,L00184,C004,2025-06-28,1,0
R000094,L00184,C004,2025-07-04,7,0
R000095,L00184,C004,2025-07-11,14,0
R000096,L00184,C004,2025-07-27,30,0
R000097,L00372,C010,2024-06-09,1,0
R000098,L00372,C010,2024-06-15,7,0
R000099,L00372,C010,2024-06-22,14,0
R000100,L00372,C010,2024-07-08,30,0
R000101,L01181,C009,2025-06-17,1,0
R000102,L01181,C009,2025-06-23,7,0
R000103,L01181,C009,2025-06-30,14,0
R000104,L01181,C009,2025-07-16,30,0
R000105,L01021,C001,2025-12-25,1,1
R000106,L01021,C001,2025-12-31,7,1
R000107,L01021,C001,2026-01-07,14,1
R000108,L01021,C001,2026-01-23,30,1
R000109,L02470,C008,2025-08-15,1,0
R000110,L02470,C008,2025-08-21,7,0
R000111,L02470,C008,2025-08-28,14,0
R000112,L02470,C008,2025-09-13,30,0
R000113,L00045,C006,2024-10-28,1,0
R000114,L00045,C006,2024-11-03,7,0
R000115,L00045,C006,2024-11-10,14,0
R000116,L00045,C006,2024-11-26,30,0
R000117,L02913,C002,2024-02-29,1,1
R000118,L02913,C002,2024-03-06,7,1
R000119,L02913,C002,2024-03-13,14,0
R000120,L02913,C002,2024-03-29,30,0
R000121,L00895,C005,2025-04-15,1,1
R000122,L00895,C005,2025-04-21,7,1
R000123,L00895,C005,2025-04-28,14,1
R000124,L00895,C005,2025-05-14,30,1
R000125,L02983,C009,2024-06-29,1,0
R000126,L02983,C009,2024-07-05,7,0
R000127,L02983,C009,2024-07-12,14,0
R000128,L02983,C009,2024-07-28,30,0
R000129,L00384,C005,2025-09-03,1,1
R000130,L00384,C005,2025-09-09,7,1
R000131,L00384,C005,2025-09-16,14,1
R000132,L00384,C005,2025-10-02,30,1
R000133,L02149,C002,2024-04-12,1,1
R000134,L02149,C002,2024-04-18,7,1
R000135,L02149,C002,2024-04-25,14,1
R000136,L02149,C002,2024-05-11,30,1
R000137,L03395,C003,2025-10-03,1,0
R000138,L03395,C003,2025-10-09,7,0
R000139,L03395,C003,2025-10-16,14,0
R000140,L03395,C003,2025-11-01,30,0
R000141,L00655,C009,2024-04-13,1,1
R000142,L00655,C009,2024-04-19,7,1
R000143,L00655,C009,2024-04-26,14,1
R000144,L00655,C009,2024-05-12,30,1
R000145,L01111,C006,2025-12-18,1,0
R000146,L01111,C006,2025-12-24,7,0
R000147,L01111,C006,2025-12-31,14,0
R000148,L01111,C006,2026-01-16,30,0
R000149,L00746,C005,2025-10-02,1,1
R000150,L00746,C005,2025-10-08,7,0
R000151,L00746,C005,2025-10-15,14,1
R000152,L00746,C005,2025-10-31,30,1
R000153,L04107,C002,2024-03-23,1,0
R000154,L04107,C002,2024-03-29,7,0
R000155,L04107,C002,2024-04-05,14,0
R000156,L04107,C002,2024-04-21,30,0
R000157,L02690,C008,2025-11-26,1,0
R000158,L02690,C008,2025-12-02,7,0
R000159,L02690,C008,2025-12-09,14,1
R000160,L02690,C008,2025-12-25,30,1
R000161,L00360,C004,2024-08-01,1,1
R000162,L00360,C004,2024-08-07,7,1
R000163,L00360,C004,2024-08-14,14,1
R000164,L00360,C004,2024-08-30,30,0
R000165,L01721,C010,2025-03-31,1,0
R000166,L01721,C010,2025-04-06,7,0
R000167,L01721,C010,2025-04-13,14,0
R000168,L01721,C010,2025-04-29,30,0
R000169,L03510,C007,2025-03-19,1,1
R000170,L03510,C007,2025-03-25,7,1
R000171,L03510,C007,2025-04-01,14,1
R000172,L03510,C007,2025-04-17,30,1
R000173,L02253,C009,2025-09-14,1,0
R000174,L02253,C009,2025-09-20,7,0
R000175,L02253,C009,2025-09-27,14,0
R000176,L02253,C009,2025-10-13,30,0
R000177,L02797,C006,2025-10-06,1,0
R000178,L02797,C006,2025-10-12,7,0
R000179,L02797,C006,2025-10-19,14,0
R000180,L02797,C006,2025-11-04,30,0
R000181,L02953,C004,2025-12-30,1,0
R000182,L02953,C004,2026-01-05,7,0
R000183,L02953,C004,2026-01-12,14,0
R000184,L02953,C004,2026-01-28,30,0
R000185,L01947,C004,2025-04-10,1,0
R000186,L01947,C004,2025-04-16,7,0
R000187,L01947,C004,2025-04-23,14,0
R000188,L01947,C004,2025-05-09,30,0
R000189,L00902,C007,2025-12-07,1,0
R000190,L00902,C007,2025-12-13,7,0
R000191,L00902,C007,2025-12-20,14,0
R000192,L00902,C007,2026-01-05,30,0
R000193,L00456,C009,2025-01-23,1,0
R000194,L00456,C009,2025-01-29,7,0
R000195,L00456,C009,2025-02-05,14,0
R000196,L00456,C009,2025-02-21,30,0
R000197,L04192,C002,2024-02-21,1,1
R000198,L04192,C002,2024-02-27,7,1
R000199,L04192,C002,2024-03-05,14,1
R000200,L04192,C002,2024-03-21,30,1
R000201,L00033,C003,2025-07-23,1,0
R000202,L00033,C003,2025-07-29,7,0
R000203,L00033,C003,2025-08-05,14,0
R000204,L00033,C003,2025-08-21,30,0
R000205,L01910,C004,2025-06-22,1,0
R000206,L01910,C004,2025-06-28,7,0
R000207,L01910,C004,2025-07-05,14,0
R000208,L01910,C004,2025-07-21,30,0
R000209,L02956,C006,2024-04-30,1,1
R000210,L02956,C006,2024-05-06,7,1
R000211,L02956,C006,2024-05-13,14,0
R000212,L02956,C006,2024-05-29,30,0
R000213,L00083,C010,2025-11-07,1,1
R000214,L00083,C010,2025-11-13,7,0
R000215,L00083,C010,2025-11-20,14,1
R000216,L00083,C010,2025-12-06,30,1
R000217,L00250,C007,2025-12-13,1,0
R000218,L00250,C007,2025-12-19,7,0
R000219,L00250,C007,2025-12-26,14,0
R000220,L00250,C007,2026-01-11,30,0
R000221,L01595,C003,2025-12-23,1,1
R000222,L01595,C003,2025-12-29,7,1
R000223,L01595,C003,2026-01-05,14,1
R000224,L01595,C003,2026-01-21,30,1
R000225,L03472,C010,2025-07-28,1,1
R000226,L03472,C010,2025-08-03,7,0
R000227,L03472,C010,2025-08-10,14,1
R000228,L03472,C010,2025-08-26,30,0
R000229,L02061,C006,2024-07-28,1,0
R000230,L02061,C006,2024-08-03,7,1
R000231,L02061,C006,2024-08-10,14,0
R000232,L02061,C006,2024-08-26,30,1
R000233,L03124,C010,2025-04-22,1,1
R000234,L03124,C010,2025-04-28,7,1
R000235,L03124,C010,2025-05-05,14,1
R000236,L03124,C010,2025-05-21,30,1
R000237,L03096,C003,2025-02-06,1,1
R000238,L03096,C003,2025-02-12,7,1
R000239,L03096,C003,2025-02-19,14,1
R000240,L03096,C003,2025-03-07,30,1
R000241,L00887,C010,2024-08-15,1,1
R000242,L00887,C010,2024-08-21,7,1
R000243,L00887,C010,2024-08-28,14,1
R000244,L00887,C010,2024-09-13,30,0
R000245,L01349,C001,2024-07-17,1,0
R000246,L01349,C001,2024-07-23,7,0
R000247,L01349,C001,2024-07-30,14,0
R000248,L01349,C001,2024-08-15,30,0
R000249,L01713,C007,2025-03-17,1,1
R000250,L01713,C007,2025-03-23,7,0
R000251,L01713,C007,2025-03-30,14,0
R000252,L01713,C007,2025-04-15,30,0
R000253,L02556,C010,2024-05-12,1,1
R000254,L02556,C010,2024-05-18,7,0
R000255,L02556,C010,2024-05-25,14,1
R000256,L02556,C010,2024-06-10,30,1
R000257,L02036,C007,2025-02-08,1,0
R000258,L02036,C007,2025-02-14,7,0
R000259,L02036,C007,2025-02-21,14,0
R000260,L02036,C007,2025-03-09,30,0
R000261,L01322,C008,2024-07-04,1,0
R000262,L01322,C008,2024-07-10,7,0
R000263,L01322,C008,2024-07-17,14,0
R000264,L01322,C008,2024-08-02,30,0
R000265,L01617,C007,2025-12-14,1,0
R000266,L01617,C007,2025-12-20,7,0
R000267,L01617,C007,2025-12-27,14,0
R000268,L01617,C007,2026-01-12,30,0
R000269,L00070,C010,2025-12-14,1,1
R000270,L00070,C010,2025-12-20,7,1
R000271,L00070,C010,2025-12-27,14,1
R000272,L00070,C010,2026-01-12,30,0
R000273,L00364,C008,2025-08-28,1,1
R000274,L00364,C008,2025-09-03,7,1
R000275,L00364,C008,2025-09-10,14,1
R000276,L00364,C008,2025-09-26,30,0
R000277,L03786,C006,2026-01-01,1,0
R000278,L03786,C006,2026-01-07,7,0
R000279,L03786,C006,2026-01-14,14,0
R000280,L03786,C006,2026-01-30,30,0
R000281,L03056,C004,2025-02-13,1,0
R000282,L03056,C004,2025-02-19,7,0
R000283,L03056,C004,2025-02-26,14,0
R000284,L03056,C004,2025-03-14,30,0
R000285,L03030,C001,2024-11-13,1,1
R000286,L03030,C001,2024-11-19,7,1
R000287,L03030,C001,2024-11-26,14,1
R000288,L03030,C001,2024-12-12,30,0
R000289,L04036,C006,2025-10-27,1,1
R000290,L04036,C006,2025-11-02,7,0
R000291,L04036,C006,2025-11-09,14,1
R000292,L04036,C006,2025-11-25,30,1
R000293,L01071,C007,2024-11-22,1,1
R000294,L01071,C007,2024-11-28,7,1
R000295,L01071,C007,2024-12-05,14,1
R000296,L01071,C007,2024-12-21,30,1
R000297,L00362,C010,2024-11-23,1,1
R000298,L00362,C010,2024-11-29,7,1
R000299,L00362,C010,2024-12-06,14,1
R000300,L00362,C010,2024-12-22,30,1
R000301,L00193,C002,2024-09-08,1,0
R000302,L00193,C002,2024-09-14,7,0
R000303,L00193,C002,2024-09-21,14,0
R000304,L00193,C002,2024-10-07,30,0
R000305,L01560,C002,2024-05-29,1,0
R000306,L01560,C002,2024-06-04,7,0
R000307,L01560,C002,2024-06-11,14,0
R000308,L01560,C002,2024-06-27,30,0
R000309,L01924,C001,2025-11-03,1,0
R000310,L01924,C001,2025-11-09,7,0
R000311,L01924,C001,2025-11-16,14,0
R000312,L01924,C001,2025-12-02,30,0
R000313,L00592,C006,2025-02-08,1,0
R000314,L00592,C006,2025-02-14,7,0
R000315,L00592,C006,2025-02-21,14,0
R000316,L00592,C006,2025-03-09,30,0
R000317,L02708,C005,2025-04-04,1,0
R000318,L02708,C005,2025-04-10,7,0
R000319,L02708,C005,2025-04-17,14,0
R000320,L02708,C005,2025-05-03,30,0
R000321,L02745,C003,2025-09-29,1,1
R000322,L02745,C003,2025-10-05,7,1
R000323,L02745,C003,2025-10-12,14,1
R000324,L02745,C003,2025-10-28,30,0
R000325,L03141,C005,2024-04-20,1,0
R000326,L03141,C005,2024-04-26,7,0
R000327,L03141,C005,2024-05-03,14,0
R000328,L03141,C005,2024-05-19,30,0
R000329,L01382,C003,2025-04-29,1,1
R000330,L01382,C003,2025-05-05,7,1
R000331,L01382,C003,2025-05-12,14,1
R000332,L01382,C003,2025-05-28,30,1
R000333,L03421,C004,2025-05-24,1,0
R000334,L03421,C004,2025-05-30,7,0
R000335,L03421,C004,2025-06-06,14,0
R000336,L03421,C004,2025-06-22,30,0
R000337,L01675,C002,2024-05-06,1,1
R000338,L01675,C002,2024-05-12,7,1
R000339,L01675,C002,2024-05-19,14,0
R000340,L01675,C002,2024-06-04,30,1
R000341,L01420,C004,2024-06-24,1,1
R000342,L01420,C004,2024-06-30,7,1
R000343,L01420,C004,2024-07-07,14,1
R000344,L01420,C004,2024-07-23,30,1
R000345,L01522,C006,2024-09-25,1,1
R000346,L01522,C006,2024-10-01,7,1
R000347,L01522,C006,2024-10-08,14,1
R000348,L01522,C006,2024-10-24,30,0
R000349,L04169,C006,2025-03-08,1,0
R000350,L04169,C006,2025-03-14,7,0
R000351,L04169,C006,2025-03-21,14,0
R000352,L04169,C006,2025-04-06,30,0
R000353,L01558,C008,2025-05-25,1,0
R000354,L01558,C008,2025-05-31,7,0
R000355,L01558,C008,2025-06-07,14,0
R000356,L01558,C008,2025-06-23,30,0
R000357,L03619,C003,2025-01-07,1,0
R000358,L03619,C003,2025-01-13,7,0
R000359,L03619,C003,2025-01-20,14,0
R000360,L03619,C003,2025-02-05,30,0
R000361,L02512,C004,2025-07-20,1,0
R000362,L02512,C004,2025-07-26,7,0
R000363,L02512,C004,2025-08-02,14,0
R000364,L02512,C004,2025-08-18,30,0
R000365,L01075,C006,2025-05-11,1,0
R000366,L01075,C006,2025-05-17,7,0
R000367,L01075,C006,2025-05-24,14,0
R000368,L01075,C006,2025-06-09,30,0
R000369,L00926,C003,2024-06-09,1,1
R000370,L00926,C003,2024-06-15,7,1
R000371,L00926,C003,2024-06-22,14,0
R000372,L00926,C003,2024-07-08,30,1
R000373,L00237,C006,2024-07-14,1,0
R000374,L00237,C006,2024-07-20,7,0
R000375,L00237,C006,2024-07-27,14,0
R000376,L00237,C006,2024-08-12,30,0
R000377,L03713,C009,2024-06-22,1,0
R000378,L03713,C009,2024-06-28,7,0
R000379,L03713,C009,2024-07-05,14,0
R000380,L03713,C009,2024-07-21,30,0
R000381,L00925,C006,2024-04-12,1,1
R000382,L00925,C006,2024-04-18,7,1
R000383,L00925,C006,2024-04-25,14,1
R000384,L00925,C006,2024-05-11,30,1
R000385,L03167,C006,2026-01-01,1,0
R000386,L03167,C006,2026-01-07,7,1
R000387,L03167,C006,2026-01-14,14,1
R000388,L03167,C006,2026-01-30,30,0
R000389,L00693,C003,2025-09-27,1,0
R000390,L00693,C003,2025-10-03,7,0
R000391,L00693,C003,2025-10-10,14,0
R000392,L00693,C003,2025-10-26,30,0
R000393,L00765,C007,2025-11-11,1,1
R000394,L00765,C007,2025-11-17,7,0
R000395,L00765,C007,2025-11-24,14,1
R000396,L00765,C007,2025-12-10,30,0
R000397,L00032,C003,2025-08-05,1,1
R000398,L00032,C003,2025-08-11,7,1
R000399,L00032,C003,2025-08-18,14,1
R000400,L00032,C003,2025-09-03,30,0
R000401,L02489,C005,2025-12-03,1,1
R000402,L02489,C005,2025-12-09,7,1
R000403,L02489,C005,2025-12-16,14,1
R000404,L02489,C005,2026-01-01,30,0
R000405,L00049,C003,2025-09-16,1,1
R000406,L00049,C003,2025-09-22,7,0
R000407,L00049,C003,2025-09-29,14,0
R000408,L00049,C003,2025-10-15,30,1
R000409,L02077,C009,2025-01-16,1,0
R000410,L02077,C009,2025-01-22,7,0
R000411,L02077,C009,2025-01-29,14,0
R000412,L02077,C009,2025-02-14,30,0
R000413,L01146,C002,2024-09-21,1,1
R000414,L01146,C002,2024-09-27,7,1
R000415,L01146,C002,2024-10-04,14,1
R000416,L01146,C002,2024-10-20,30,1
R000417,L01439,C010,2025-12-07,1,1
R000418,L01439,C010,2025-12-13,7,1
R000419,L01439,C010,2025-12-20,14,1
R000420,L01439,C010,2026-01-05,30,1
R000421,L02291,C002,2024-03-14,1,1
R000422,L02291,C002,2024-03-20,7,1
R000423,L02291,C002,2024-03-27,14,1
R000424,L02291,C002,2024-04-12,30,1
R000425,L01221,C003,2025-12-14,1,0
R000426,L01221,C003,2025-12-20,7,0
R000427,L01221,C003,2025-12-27,14,1
R000428,L01221,C003,2026-01-12,30,1
R000429,L03977,C001,2025-12-06,1,0
R000430,L03977,C001,2025-12-12,7,0
R000431,L03977,C001,2025-12-19,14,0
R000432,L03977,C001,2026-01-04,30,0
R000433,L00908,C001,2025-08-14,1,1
R000434,L00908,C001,2025-08-20,7,1
R000435,L00908,C001,2025-08-27,14,1
R000436,L00908,C001,2025-09-12,30,1
R000437,L02682,C004,2024-06-13,1,1
R000438,L02682,C004,2024-06-19,7,1
R000439,L02682,C004,2024-06-26,14,0
R000440,L02682,C004,2024-07-12,30,1
R000441,L03295,C006,2025-08-09,1,1
R000442,L03295,C006,2025-08-15,7,1
R000443,L03295,C006,2025-08-22,14,1
R000444,L03295,C006,2025-09-07,30,1
R000445,L02232,C004,2024-03-18,1,1
R000446,L02232,C004,2024-03-24,7,0
R000447,L02232,C004,2024-03-31,14,1
R000448,L02232,C004,2024-04-16,30,1
R000449,L02117,C007,2025-09-07,1,0
R000450,L02117,C007,2025-09-13,7,0
R000451,L02117,C007,2025-09-20,14,0
R000452,L02117,C007,2025-10-06,30,0
R000453,L00118,C002,2025-11-18,1,1
R000454,L00118,C002,2025-11-24,7,1
R000455,L00118,C002,2025-12-01,14,1
R000456,L00118,C002,2025-12-17,30,1
R000457,L00619,C006,2024-05-16,1,0
R000458,L00619,C006,2024-05-22,7,0
R000459,L00619,C006,2024-05-29,14,0
R000460,L00619,C006,2024-06-14,30,0
R000461,L04177,C008,2025-01-16,1,0
R000462,L04177,C008,2025-01-22,7,0
R000463,L04177,C008,2025-01-29,14,0
R000464,L04177,C008,2025-02-14,30,0
R000465,L00390,C005,2024-11-19,1,1
R000466,L00390,C005,2024-11-25,7,1
R000467,L00390,C005,2024-12-02,14,1
R000468,L00390,C005,2024-12-18,30,0
R000469,L00764,C003,2024-03-12,1,0
R000470,L00764,C003,2024-03-18,7,0
R000471,L00764,C003,2024-03-25,14,0
R000472,L00764,C003,2024-04-10,30,0
R000473,L03653,C001,2024-10-08,1,0
R000474,L03653,C001,2024-10-14,7,0
R000475,L03653,C001,2024-10-21,14,0
R000476,L03653,C001,2024-11-06,30,0
R000477,L03150,C006,2025-11-12,1,0
R000478,L03150,C006,2025-11-18,7,0
R000479,L03150,C006,2025-11-25,14,0
R000480,L03150,C006,2025-12-11,30,0
R000481,L01854,C008,2024-10-03,1,1
R000482,L01854,C008,2024-10-09,7,1
R000483,L01854,C008,2024-10-16,14,1
R000484,L01854,C008,2024-11-01,30,0
R000485,L03440,C005,2025-04-15,1,1
R000486,L03440,C005,2025-04-21,7,1
R000487,L03440,C005,2025-04-28,14,1
R000488,L03440,C005,2025-05-14,30,1
R000489,L02271,C002,2025-05-25,1,0
R000490,L02271,C002,2025-05-31,7,1
R000491,L02271,C002,2025-06-07,14,1
R000492,L02271,C002,2025-06-23,30,1
R000493,L03232,C006,2025-12-30,1,0
R000494,L03232,C006,2026-01-05,7,0
R000495,L03232,C006,2026-01-12,14,0
R000496,L03232,C006,2026-01-28,30,0
R000497,L03721,C004,2024-12-15,1,1
R000498,L03721,C004,2024-12-21,7,1
R000499,L03721,C004,2024-12-28,14,1
R000500,L03721,C004,2025-01-13,30,1
R000501,L01286,C009,2024-12-02,1,0
R000502,L01286,C009,2024-12-08,7,0
R000503,L01286,C009,2024-12-15,14,0
R000504,L01286,C009,2024-12-31,30,0
R000505,L02951,C007,2025-08-08,1,0
R000506,L02951,C007,2025-08-14,7,0
R000507,L02951,C007,2025-08-21,14,0
R000508,L02951,C007,2025-09-06,30,0
R000509,L03453,C004,2025-09-25,1,1
R000510,L03453,C004,2025-10-01,7,0
R000511,L03453,C004,2025-10-08,14,1
R000512,L03453,C004,2025-10-24,30,0
R000513,L02295,C009,2025-10-20,1,0
R000514,L02295,C009,2025-10-26,7,0
R000515,L02295,C009,2025-11-02,14,0
R000516,L02295,C009,2025-11-18,30,0
R000517,L01510,C009,2025-08-21,1,1
R000518,L01510,C009,2025-08-27,7,0
R000519,L01510,C009,2025-09-03,14,1
R000520,L01510,C009,2025-09-19,30,0
R000521,L01811,C004,2025-08-18,1,0
R000522,L01811,C004,2025-08-24,7,0
R000523,L01811,C004,2025-08-31,14,0
R000524,L01811,C004,2025-09-16,30,0
R000525,L00431,C003,2024-11-04,1,0
R000526,L00431,C003,2024-11-10,7,0
R000527,L00431,C003,2024-11-17,14,0
R000528,L00431,C003,2024-12-03,30,0
R000529,L00598,C002,2024-12-09,1,0
R000530,L00598,C002,2024-12-15,7,0
R000531,L00598,C002,2024-12-22,14,0
R000532,L00598,C002,2025-01-07,30,0
R000533,L00929,C007,2025-12-31,1,0
R000534,L00929,C007,2026-01-06,7,0
R000535,L00929,C007,2026-01-13,14,0
R000536,L00929,C007,2026-01-29,30,0
R000537,L03259,C006,2025-02-14,1,0
R000538,L03259,C006,2025-02-20,7,0
R000539,L03259,C006,2025-02-27,14,0
R000540,L03259,C006,2025-03-15,30,0
R000541,L02173,C006,2025-12-25,1,0
R000542,L02173,C006,2025-12-31,7,0
R000543,L02173,C006,2026-01-07,14,0
R000544,L02173,C006,2026-01-23,30,0
R000545,L02309,C010,2025-03-05,1,1
R000546,L02309,C010,2025-03-11,7,1
R000547,L02309,C010,2025-03-18,14,1
R000548,L02309,C010,2025-04-03,30,1
R000549,L02358,C006,2025-08-23,1,0
R000550,L02358,C006,2025-08-29,7,0
R000551,L02358,C006,2025-09-05,14,0
R000552,L02358,C006,2025-09-21,30,0
R000553,L00604,C005,2025-02-05,1,1
R000554,L00604,C005,2025-02-11,7,1
R000555,L00604,C005,2025-02-18,14,1
R000556,L00604,C005,2025-03-06,30,1
R000557,L03182,C004,2024-10-31,1,0
R000558,L03182,C004,2024-11-06,7,0
R000559,L03182,C004,2024-11-13,14,0
R000560,L03182,C004,2024-11-29,30,0
R000561,L03034,C006,2024-06-28,1,0
R000562,L03034,C006,2024-07-04,7,0
R000563,L03034,C006,2024-07-11,14,0
R000564,L03034,C006,2024-07-27,30,0
R000565,L01463,C010,2024-12-18,1,1
R000566,L01463,C010,2024-12-24,7,1
R000567,L01463,C010,2024-12-31,14,1
R000568,L01463,C010,2025-01-16,30,1
R000569,L02421,C004,2024-09-13,1,0
R000570,L02421,C004,2024-09-19,7,0
R000571,L02421,C004,2024-09-26,14,0
R000572,L02421,C004,2024-10-12,30,0
R000573,L01014,C004,2025-04-08,1,0
R000574,L01014,C004,2025-04-14,7,0
R000575,L01014,C004,2025-04-21,14,0
R000576,L01014,C004,2025-05-07,30,0
R000577,L02666,C006,2025-01-25,1,1
R000578,L02666,C006,2025-01-31,7,1
R000579,L02666,C006,2025-02-07,14,1
R000580,L02666,C006,2025-02-23,30,1
R000581,L03606,C007,2024-06-15,1,0
R000582,L03606,C007,2024-06-21,7,0
R000583,L03606,C007,2024-06-28,14,0
R000584,L03606,C007,2024-07-14,30,0
R000585,L00657,C001,2024-09-19,1,1
R000586,L00657,C001,2024-09-25,7,1
R000587,L00657,C001,2024-10-02,14,1
R000588,L00657,C001,2024-10-18,30,1
R000589,L00978,C010,2024-03-02,1,1
R000590,L00978,C010,2024-03-08,7,0
R000591,L00978,C010,2024-03-15,14,1
R000592,L00978,C010,2024-03-31,30,1
R000593,L00841,C007,2025-02-25,1,0
R000594,L00841,C007,2025-03-03,7,0
R000595,L00841,C007,2025-03-10,14,0
R000596,L00841,C007,2025-03-26,30,0
R000597,L03295,C007,2025-05-26,1,0
R000598,L03295,C007,2025-06-01,7,0
R000599,L03295,C007,2025-06-08,14,0
R000600,L03295,C007,2025-06-24,30,0
R000601,L00286,C004,2025-02-27,1,1
R000602,L00286,C004,2025-03-05,7,1
R000603,L00286,C004,2025-03-12,14,1
R000604,L00286,C004,2025-03-28,30,0
R000605,L00369,C003,2025-08-10,1,0
R000606,L00369,C003,2025-08-16,7,0
R000607,L00369,C003,2025-08-23,14,0
R000608,L00369,C003,2025-09-08,30,0
R000609,L02466,C006,2025-02-18,1,0
R000610,L02466,C006,2025-02-24,7,0
R000611,L02466,C006,2025-03-03,14,0
R000612,L02466,C006,2025-03-19,30,0
R000613,L03469,C009,2025-06-17,1,0
R000614,L03469,C009,2025-06-23,7,0
R000615,L03469,C009,2025-06-30,14,0
R000616,L03469,C009,2025-07-16,30,0
R000617,L00092,C007,2024-05-11,1,0
R000618,L00092,C007,2024-05-17,7,0
R000619,L00092,C007,2024-05-24,14,0
R000620,L00092,C007,2024-06-09,30,1
R000621,L03022,C008,2025-02-07,1,1
R000622,L03022,C008,2025-02-13,7,1
R000623,L03022,C008,2025-02-20,14,1
R000624,L03022,C008,2025-03-08,30,0
R000625,L03231,C004,2025-07-27,1,1
R000626,L03231,C004,2025-08-02,7,1
R000627,L03231,C004,2025-08-09,14,1
R000628,L03231,C004,2025-08-25,30,1
R000629,L02199,C001,2025-12-05,1,1
R000630,L02199,C001,2025-12-11,7,1
R000631,L02199,C001,2025-12-18,14,0
R000632,L02199,C001,2026-01-03,30,1
R000633,L01991,C006,2024-07-01,1,0
