learner_id,age,age_group,gender,region,device_type,signup_date
L00143,18,18-24,Female,Eastern Cape,Mobile,2024-05-08
L00144,29,25-34,Male,Western Cape,Desktop,2025-06-13
L00145,32,25-34,Male,KwaZulu-Natal,Mobile,2025-02-20
L00146,23,18-24,Female,Gauteng,Mobile,2024-07-13
L00147,38,35-44,Female,Western Cape,Tablet,2024-01-13
L00148,23,18-24,Male,Mpumalanga,Desktop,2024-09-09
L00149,25,25-34,Male,Gauteng,Desktop,2024-05-03
L00150,32,25-34,Female,Western Cape,Desktop,2024-10-18
L00151,28,25-34,Male,Eastern Cape,Mobile,2025-06-04
L00152,31,25-34,Non-binary,Eastern Cape,Mobile,2025-11-08
L00153,40,35-44,Male,Western Cape,Mobile,2025-04-10
L00154,18,18-24,Female,Western Cape,Desktop,2024-07-18
L00155,28,25-34,Female,Eastern Cape,Desktop,2024-10-06
L00156,37,35-44,Female,Gauteng,Mobile,2024-01-15
L00157,32,25-34,Male,Western Cape,Mobile,2025-09-30
L00158,30,25-34,Male,KwaZulu-Natal,Mobile,2024-03-12
L00159,22,18-24,Male,Gauteng,Mobile,2024-03-18
L00160,31,25-34,Female,KwaZulu-Natal,Mobile,2025-09-21
L00161,40,35-44,Male,Mpumalanga,Mobile,2025-08-16
L00162,18,18-24,Female,Gauteng,Desktop,2025-07-30
L00163,34,25-34,Female,Limpopo,Desktop,2025-10-02
L00164,31,25-34,Male,Limpopo,Desktop,2025-06-20
L00165,18,18-24,Female,Mpumalanga,Mobile,2024-12-05
L00166,37,35-44,Male,Northern Cape,Mobile,2024-10-15
L00167,40,35-44,Female,KwaZulu-Natal,Mobile,2025-12-30
L00168,22,18-24,Male,Western Cape,Desktop,2024-01-02
L00169,30,25-34,Female,Northern Cape,Desktop,2024-02-13
L00170,22,18-24,Non-binary,Mpumalanga,Mobile,2024-05-15
L00171,27,25-34,Female,Eastern Cape,Desktop,2024-12-10
L00172,34,25-34,Female,Gauteng,Mobile,2024-10-25
L00173,26,25-34,Male,Gauteng,Mobile,2025-07-14
L00174,43,35-44,Female,KwaZulu-Natal,Desktop,2025-06-20
L00175,19,18-24,Female,Free State,Desktop,2025-10-15
L00176,31,25-34,Male,Gauteng,Desktop,2024-11-16
L00177,30,25-34,Non-binary,Gauteng,Mobile,2024-09-06
L00178,28,25-34,Male,Western Cape,Mobile,2025-02-28
L00179,38,35-44,Female,KwaZulu-Natal,Mobile,2024-03-28
L00180,22,18-24,Male,Mpumalanga,Mobile,2024-12-27
L00181,40,35-44,Female,Mpumalanga,Desktop,2024-03-06
L00182,29,25-34,Male,Gauteng,Desktop,2024-11-12
L00183,31,25-34,Female,Limpopo,Desktop,2025-04-13
L00184,18,18-24,Female,North West,Mobile,2025-04-12
L00185,21,18-24,Male,Western Cape,Mobile,2025-02-05
L00186,26,25-34,Female,Western Cape,Mobile,2024-10-11
L00187,35,35-44,Female,Gauteng,Tablet,2025-02-18
L00188,33,25-34,Male,Gauteng,Mobile,2024-12-15
L00189,24,18-24,Female,Western Cape,Mobile,2025-06-21
L00190,26,25-34,Male,Mpumalanga,Mobile,2024-07-11
L00191,40,35-44,Female,Gauteng,Mobile,2024-07-10
L00192,39,35-44,Male,Gauteng,Mobile,2024-10-09
L00193,38,35-44,Female,Gauteng,Desktop,2024-08-19
L00194,18,18-24,Female,Gauteng,Tablet,2024-08-28
L00195,31,25-34,Female,Western Cape,Desktop,2025-09-08
L00196,41,35-44,Male,Gauteng,Mobile,2024-11-03
L00197,18,18-24,Female,Mpumalanga,Desktop,2024-06-29
L00198,31,25-34,Female,Gauteng,Mobile,2024-08-16
L00199,33,25-34,Female,Gauteng,Mobile,2024-10-29
L00200,24,18-24,Female,Gauteng,Mobile,2025-01-25
L00201,34,25-34,Male,Limpopo,Mobile,2025-01-02
L00202,33,25-34,Male,Gauteng,Mobile,2024-03-25
L00203,35,35-44,Male,Gauteng,Mobile,2024-12-24
L00204,33,25-34,Male,KwaZulu-Natal,Mobile,2025-07-07
L00205,34,25-34,Male,Western Cape,Mobile,2024-03-25
L00206,19,18-24,Female,Western Cape,Mobile,2024-01-20
L00207,20,18-24,Male,Gauteng,Mobile,2024-11-04
L00208,34,25-34,Male,KwaZulu-Natal,Mobile,2025-05-16
L00209,34,25-34,Female,Free State,Mobile,2024-11-25
L00210,36,35-44,Male,Western Cape,Mobile,2025-05-13
L00211,36,35-44,Female,Western Cape,Mobile,2025-09-04
L00212,37,35-44,Male,Western Cape,Mobile,2024-04-08
L00213,25,25-34,Female,Gauteng,Desktop,2025-08-10
L00214,32,25-34,Male,Gauteng,Tablet,2025-12-30
L00215,24,18-24,Female,Gauteng,Desktop,2024-12-28
L00216,20,18-24,Female,Gauteng,Desktop,2025-08-26
L00217,40,35-44,Female,Western Cape,Desktop,2025-09-03
L00218,23,18-24,Male,Western Cape,Mobile,2024-12-27
L00219,19,18-24,Male,Gauteng,Mobile,2024-07-16
L00220,18,18-24,Female,Western Cape,Mobile,2024-08-31
L00221,23,18-24,Male,KwaZulu-Natal,Tablet,2024-05-13
L00222,33,25-34,Female,Gauteng,Desktop,2024-10-22
L00223,43,35-44,Male,Gauteng,Tablet,2024-01-22
L00224,24,18-24,Male,Gauteng,Desktop,2025-12-06
L00225,29,25-34,Female,Limpopo,Mobile,2025-11-25
L00226,18,18-24,Male,Eastern Cape,Mobile,2025-11-11
L00227,24,18-24,Male,Western Cape,Mobile,2024-08-10
L00228,34,25-34,Female,Gauteng,Mobile,2025-11-18
L00229,39,35-44,Non-binary,Gauteng,Mobile,2024-12-05
L00230,34,25-34,Male,Gauteng,Mobile,2024-09-19
L00231,28,25-34,Male,Gauteng,Desktop,2024-12-16
L00232,18,18-24,Female,Gauteng,Mobile,2024-10-07
L00233,30,25-34,Male,KwaZulu-Natal,Desktop,2025-02-19
L00234,18,18-24,Male,Gauteng,Mobile,2025-12-23
L00235,34,25-34,Female,Western Cape,Desktop,2024-09-12
L00236,40,35-44,Female,Gauteng,Desktop,2025-05-01
L00237,31,25-34,Female,KwaZulu-Natal,Mobile,2024-06-12
L00238,37,35-44,Male,KwaZulu-Natal,Desktop,2024-09-05
L00239,23,18-24,Female,KwaZulu-Natal,Desktop,2024-02-22
L00240,18,18-24,Female,Gauteng,Mobile,2025-11-07
L00241,48,45+,Female,KwaZulu-Natal,Desktop,2025-04-12
L00242,51,45+,Male,Limpopo,Mobile,2025-06-15
L00243,27,25-34,Male,Eastern Cape,Mobile,2025-08-04
L00244,27,25-34,Female,KwaZulu-Natal,Mobile,2024-01-11
L00245,27,25-34,Male,KwaZulu-Natal,Mobile,2024-09-15
L00246,37,35-44,Male,Gauteng,Desktop,2025-02-13
L00247,27,25-34,Female,Gauteng,Desktop,2025-01-26
L00248,26,25-34,Male,Limpopo,Mobile,2024-09-08
L00249,36,35-44,Female,Eastern Cape,Desktop,2025-06-20
L00250,33,25-34,Male,KwaZulu-Natal,Tablet,2025-09-26
L00251,27,25-34,Female,Eastern Cape,Mobile,2024-03-03
L00252,33,25-34,Male,KwaZulu-Natal,Mobile,2024-07-11
L00253,41,35-44,Female,Eastern Cape,Desktop,2025-08-31
L00254,24,18-24,Female,Eastern Cape,Mobile,2025-11-02
L00255,26,25-34,Male,Eastern Cape,Desktop,2024-02-03
L00256,23,18-24,Female,Free State,Mobile,2024-08-17
L00257,28,25-34,Female,KwaZulu-Natal,Mobile,2024-05-18
L00258,24,18-24,Female,KwaZulu-Natal,Desktop,2024-09-16
L00259,22,18-24,Female,KwaZulu-Natal,Desktop,2025-06-13
L00260,25,25-34,Male,Limpopo,Mobile,2025-11-06
L00261,32,25-34,Female,Gauteng,Desktop,2025-04-17
L00262,33,25-34,Female,Gauteng,Desktop,2025-09-28
L00263,38,35-44,Female,Gauteng,Desktop,2024-03-17
L00264,34,25-34,Male,Eastern Cape,Desktop,2024-09-11
L00265,35,35-44,Female,Gauteng,Mobile,2024-05-19
L00266,33,25-34,Female,Gauteng,Desktop,2025-05-29
L00267,18,18-24,Female,Gauteng,Tablet,2025-04-13
L00268,43,35-44,Male,Gauteng,Tablet,2024-06-21
L00269,32,25-34,Female,North West,Mobile,2025-06-20
L00270,39,35-44,Female,North West,Mobile,2024-05-30
L00271,27,25-34,Male,Gauteng,Desktop,2025-07-10
L00272,41,35-44,Male,Gauteng,Mobile,2025-08-20
L00273,27,25-34,Male,KwaZulu-Natal,Mobile,2025-01-20
L00274,24,18-24,Male,Gauteng,Mobile,2025-05-04
L00275,40,35-44,Female,KwaZulu-Natal,Mobile,2024-07-24
L00276,45,45+,Female,Eastern Cape,Tablet,2025-06-17
L00277,28,25-34,Female,Mpumalanga,Mobile,2024-09-21
L00278,18,18-24,Female,Western Cape,Desktop,2024-09-26
L00279,27,25-34,Female,Western Cape,Mobile,2024-09-01
L00280,28,25-34,Female,KwaZulu-Natal,Tablet,2025-02-15
L00281,42,35-44,Male,Free State,Mobile,2025-12-23
L00282,20,18-24,Male,KwaZulu-Natal,Tablet,2024-07-12
L00283,33,25-34,Female,Western Cape,Mobile,2024-04-08
L00284,24,18-24,Female,KwaZulu-Natal,Mobile,2025-02-28
L00285,20,18-24,Male,Free State,Mobile,2025-04-22
L00286,33,25-34,Female,Gauteng,Mobile,2025-01-19
L00287,34,25-34,Female,Gauteng,Mobile,2024-03-18
L00288,24,18-24,Female,Western Cape,Desktop,2024-11-06
L00289,36,35-44,Female,Gauteng,Desktop,2025-05-28
L00290,29,25-34,Female,Gauteng,Mobile,2024-02-15
L00291,30,25-34,Female,Western Cape,Desktop,2024-07-17
L00292,29,25-34,Female,Western Cape,Mobile,2024-01-15
L00293,36,35-44,Male,KwaZulu-Natal,Mobile,2025-10-27
L00294,23,18-24,Female,Gauteng,Desktop,2025-07-31
L00295,24,18-24,Female,KwaZulu-Natal,Desktop,2025-08-07
L00296,27,25-34,Male,KwaZulu-Natal,Mobile,2024-05-31
L00297,22,18-24,Female,Gauteng,Desktop,2024-01-30
L00298,18,18-24,Female,Eastern Cape,Mobile,2024-09-03
L00299,32,25-34,Female,Gauteng,Mobile,2025-04-22
L00300,27,25-34,Female,Free State,Mobile,2024-08-27
L00301,21,18-24,Male,Gauteng,Desktop,2025-11-21
L00302,32,25-34,Female,KwaZulu-Natal,Desktop,2025-08-27
L00303,23,18-24,Male,Gauteng,Mobile,2025-07-01
L00304,29,25-34,Female,Free State,Desktop,2025-12-18
L00305,37,35-44,Female,Eastern Cape,Desktop,2024-09-26
L00306,31,25-34,Male,KwaZulu-Natal,Desktop,2024-11-03
L00307,24,18-24,Female,Western Cape,Mobile,2024-01-10
L00308,27,25-34,Non-binary,Gauteng,Mobile,2024-12-21
L00309,28,25-34,Male,Gauteng,Mobile,2025-04-05
L00310,18,18-24,Male,Gauteng,Desktop,2024-01-09
L00311,25,25-34,Female,Limpopo,Desktop,2025-10-24
L00312,32,25-34,Male,Western Cape,Mobile,2025-11-06
L00313,35,35-44,Male,Gauteng,Mobile,2025-06-18
L00314,32,25-34,Female,Western Cape,Mobile,2025-09-25
L00315,27,25-34,Female,Western Cape,Mobile,2025-09-03
L00316,28,25-34,Female,Mpumalanga,Mobile,2025-08-10
L00317,38,35-44,Non-binary,Western Cape,Mobile,2025-06-27
L00318,31,25-34,Female,Eastern Cape,Desktop,2024-06-26
L00319,23,18-24,Female,Western Cape,Desktop,2025-07-25
L00320,20,18-24,Female,Western Cape,Mobile,2024-10-17
L00321,27,25-34,Male,North West,Mobile,2025-12-17
L00322,49,45+,Male,Western Cape,Mobile,2024-08-22
L00323,18,18-24,Female,Gauteng,Mobile,2024-08-19
L00324,18,18-24,Male,Eastern Cape,Desktop,2024-08-04
L00325,39,35-44,Male,Limpopo,Mobile,2025-01-19
L00326,20,18-24,Male,Western Cape,Desktop,2024-01-21
L00327,32,25-34,Male,Western Cape,Mobile,2024-03-16
L00328,24,18-24,Female,Western Cape,Desktop,2025-04-28
L00329,25,25-34,Female,Western Cape,Desktop,2025-12-30
L00330,33,25-34,Female,North West,Desktop,2025-08-07
L00331,38,35-44,Female,Free State,Mobile,2025-03-13
L00332,23,18-24,Male,Gauteng,Mobile,2025-04-28
L00333,30,25-34,Female,Gauteng,Desktop,2024-06-01
L00334,51,45+,Male,Gauteng,Desktop,2025-12-17
L00335,30,25-34,Female,North West,Mobile,2025-01-19
L00336,18,18-24,Female,KwaZulu-Natal,Mobile,2025-03-02
L00337,33,25-34,Male,Free State,Desktop,2024-10-17
L00338,18,18-24,Female,Eastern Cape,Desktop,2024-11-11
L00339,45,45+,Male,Eastern Cape,Mobile,2024-04-29
L00340,18,18-24,Female,Western Cape,Mobile,2025-08-05
L00341,33,25-34,Male,Gauteng,Desktop,2024-05-25
L00342,35,35-44,Female,Gauteng,Mobile,2025-08-16
L00343,33,25-34,Male,Gauteng,Mobile,2024-07-25
L00344,23,18-24,Female,Eastern Cape,Mobile,2024-05-21
L00345,32,25-34,Male,KwaZulu-Natal,Mobile,2025-05-08
L00346,29,25-34,Male,Eastern Cape,Mobile,2025-03-13
L00347,22,18-24,Male,North West,Desktop,2025-09-25
L00348,33,25-34,Female,Gauteng,Mobile,2024-12-19
L00349,28,25-34,Male,Mpumalanga,Mobile,2025-06-24
L00350,27,25-34,Male,KwaZulu-Natal,Mobile,2024-03-13
L00351,31,25-34,Male,Gauteng,Tablet,2025-04-28
L00352,29,25-34,Male,KwaZulu-Natal,Mobile,2024-09-09
L00353,32,25-34,Male,Gauteng,Mobile,2025-11-06
L00354,26,25-34,Female,Mpumalanga,Mobile,2025-07-01
L00355,31,25-34,Female,Mpumalanga,Mobile,2025-12-22
L00356,28,25-34,Female,Limpopo,Mobile,2024-07-16
L00357,25,25-34,Female,Western Cape,Mobile,2024-06-17
L00358,40,35-44,Female,Western Cape,Mobile,2025-08-26
L00359,36,35-44,Female,Mpumalanga,Mobile,2025-09-07
L00360,27,25-34,Female,Gauteng,Tablet,2024-07-15
L00361,22,18-24,Female,Gauteng,Mobile,2024-03-01
L00362,36,35-44,Male,Gauteng,Tablet,2024-10-31
L00363,23,18-24,Female,KwaZulu-Natal,Desktop,2025-06-14
L00364,34,25-34,Female,KwaZulu-Natal,Mobile,2025-08-15
L00365,18,18-24,Male,KwaZulu-Natal,Desktop,2025-12-25
L00366,34,25-34,Female,Limpopo,Desktop,2024-01-27
L00367,21,18-24,Female,Gauteng,Desktop,2025-04-28
L00368,34,25-34,Female,Gauteng,Mobile,2025-06-20
L00369,25,25-34,Female,KwaZulu-Natal,Mobile,2025-07-13
L00370,30,25-34,Female,KwaZulu-Natal,Tablet,2024-02-02
L00371,23,18-24,Female,Gauteng,Tablet,2025-02-26
L00372,23,18-24,Female,Gauteng,Desktop,2024-03-26
L00373,26,25-34,Female,Gauteng,Desktop,2024-08-22
L00374,33,25-34,Male,Limpopo,Tablet,2024-09-15
L00375,24,18-24,Female,KwaZulu-Natal,Mobile,2024-06-07
L00376,37,35-44,Male,Gauteng,Mobile,2025-01-02
L00377,31,25-34,Male,Western Cape,Mobile,2025-10-13
L00378,18,18-24,Female,Mpumalanga,Mobile,2024-01-02
L00379,28,25-34,Male,Western Cape,Mobile,2024-07-23
L00380,41,35-44,Male,Gauteng,Mobile,2025-12-15
L00381,21,18-24,Male,KwaZulu-Natal,Mobile,2024-11-18
L00382,38,35-44,Male,Western Cape,Mobile,2025-08-10
L00383,27,25-34,Female,Limpopo,Mobile,2024-01-19
L00384,27,25-34,Female,Western Cape,Mobile,2025-07-29
L00385,18,18-24,Female,Eastern Cape,Mobile,2024-08-11
L00386,34,25-34,Female,Northern Cape,Desktop,2024-10-24
L00387,21,18-24,Male,Gauteng,Mobile,2024-08-16
L00388,42,35-44,Female,Gauteng,Mobile,2024-03-18
L00389,29,25-34,Male,Gauteng,Mobile,2024-07-02
L00390,26,25-34,Female,Eastern Cape,Desktop,2024-10-21
L00391,36,35-44,Male,Gauteng,Mobile,2025-02-03
L00392,18,18-24,Female,Gauteng,Tablet,2024-10-11
L00393,23,18-24,Female,KwaZulu-Natal,Tablet,2024-01-23
L00394,25,25-34,Male,Limpopo,Mobile,2025-04-21
L00395,50,45+,Male,Eastern Cape,Mobile,2024-02-15
L00396,18,18-24,Male,KwaZulu-Natal,Tablet,2025-06-15
L00397,27,25-34,Male,Gauteng,Tablet,2024-08-23
L00398,28,25-34,Male,Western Cape,Desktop,2024-04-15
L00399,27,25-34,Female,Western Cape,Mobile,2024-02-07
L00400,23,18-24,Male,Gauteng,Mobile,2024-07-31
L00401,22,18-24,Male,Gauteng,Mobile,2025-07-18
L00402,21,18-24,Male,KwaZulu-Natal,Mobile,2025-06-22
L00403,18,18-24,Male,Western Cape,Mobile,2025-12-12
L00404,40,35-44,Male,Western Cape,Tablet,2025-10-17
L00405,18,18-24,Female,Mpumalanga,Mobile,2024-04-07
L00406,29,25-34,Female,Gauteng,Desktop,2024-06-15
L00407,23,18-24,Female,Gauteng,Desktop,2024-04-16
L00408,29,25-34,Female,KwaZulu-Natal,Desktop,2025-12-03
L00409,30,25-34,Female,Eastern Cape,Desktop,2025-06-23
L00410,29,25-34,Male,KwaZulu-Natal,Desktop,2024-09-12
L00411,39,35-44,Male,KwaZulu-Natal,Mobile,2025-08-22
L00412,29,25-34,Male,Limpopo,Desktop,2025-01-29
L00413,35,35-44,Male,Gauteng,Mobile,2025-11-28
L00414,22,18-24,Female,Gauteng,Mobile,2024-11-15
L00415,35,35-44,Female,Gauteng,Mobile,2025-07-22
L00416,34,25-34,Female,Gauteng,Desktop,2025-06-10
L00417,32,25-34,Female,KwaZulu-Natal,Desktop,2024-02-12
L00418,29,25-34,Female,Eastern Cape,Tablet,2025-02-27
L00419,20,18-24,Male,Limpopo,Desktop,2024-12-28
L00420,32,25-34,Female,Gauteng,Mobile,2024-11-24
L00421,18,18-24,Female,Gauteng,Mobile,2025-02-14
L00422,30,25-34,Female,Western Cape,Mobile,2025-10-21
L00423,20,18-24,Female,Western Cape,Desktop,2025-10-07
L00424,24,18-24,Female,Gauteng,Desktop,2025-11-25
L00425,47,45+,Male,Western Cape,Desktop,2024-11-14
L00426,28,25-34,Male,Gauteng,Desktop,2025-07-13
L00427,22,18-24,Female,Limpopo,Desktop,2024-12-30
L00428,33,25-34,Male,Gauteng,Mobile,2024-02-23
L00429,29,25-34,Male,Western Cape,Mobile,2024-09-12
L00430,32,25-34,Female,Eastern Cape,Desktop,2024-04-13
L00431,25,25-34,Female,Western Cape,Desktop,2024-09-23
L00432,31,25-34,Male,KwaZulu-Natal,Mobile,2024-01-28
L00433,30,25-34,Male,Limpopo,Desktop,2025-09-25
L00434,18,18-24,Female,KwaZulu-Natal,Mobile,2024-05-23
